,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-02-28,1,5.235876223886067,
1,2020-02-29,0,0.0,
2,2020-03-01,2,10.471752447772134,
3,2020-03-02,0,0.0,
4,2020-03-03,0,0.0,
5,2020-03-04,0,0.0,
6,2020-03-05,0,0.0,2.243946953094029
7,2020-03-06,0,0.0,1.4959646353960192
8,2020-03-07,1,5.235876223886067,2.243946953094029
9,2020-03-08,0,0.0,0.7479823176980096
10,2020-03-09,0,0.0,0.7479823176980096
11,2020-03-10,0,0.0,0.7479823176980096
12,2020-03-11,0,0.0,0.7479823176980096
13,2020-03-12,0,0.0,0.7479823176980096
14,2020-03-13,3,15.707628671658203,2.9919292707920384
15,2020-03-14,0,0.0,2.243946953094029
16,2020-03-15,0,0.0,2.243946953094029
17,2020-03-16,1,5.235876223886067,2.9919292707920384
18,2020-03-17,2,10.471752447772134,4.487893906188058
19,2020-03-18,2,10.471752447772134,5.983858541584077
20,2020-03-19,2,10.471752447772134,7.479823176980096
21,2020-03-20,1,5.235876223886067,5.983858541584077
22,2020-03-21,2,10.471752447772134,7.479823176980096
23,2020-03-22,7,36.65113356720247,12.715699400866164
24,2020-03-23,3,15.707628671658203,14.211664036262183
25,2020-03-24,8,41.88700979108854,18.69955794245024
26,2020-03-25,3,15.707628671658203,19.44754026014825
27,2020-03-26,14,73.30226713440494,28.423328072524367
28,2020-03-27,9,47.12288601497461,34.40718661410844
29,2020-03-28,10,52.35876223886068,40.391045155692524
30,2020-03-29,7,36.65113356720247,40.391045155692524
31,2020-03-30,16,83.77401958217708,50.114815285766646
32,2020-03-31,7,36.65113356720247,49.366832968068636
33,2020-04-01,16,83.77401958217708,59.09060309814276
34,2020-04-02,8,41.88700979108854,54.6027091919547
35,2020-04-03,18,94.24577202994922,61.33455005123679
36,2020-04-04,11,57.594638462746744,62.0825323689348
37,2020-04-05,17,89.00989580606314,69.5623555459149
38,2020-04-06,24,125.66102937326562,75.54621408749897
39,2020-04-07,28,146.60453426880989,91.25384275915718
40,2020-04-08,24,125.66102937326562,97.23770130074125
41,2020-04-09,23,120.42515314937955,108.4574360662114
42,2020-04-10,20,104.71752447772135,109.95340070160742
43,2020-04-11,26,136.13278182103775,121.17313546707756
44,2020-04-12,16,83.77401958217708,120.42515314937955
45,2020-04-13,21,109.95340070160742,118.18120619628553
46,2020-04-14,11,57.594638462746744,105.46550679541936
47,2020-04-15,31,162.31216294046808,110.70138301930542
48,2020-04-16,25,130.8969055971517,112.19734765470145
49,2020-04-17,31,162.31216294046808,120.42515314937955
50,2020-04-18,37,193.7274202837845,128.65295864405766
51,2020-04-19,15,78.53814335829101,127.90497632635964
52,2020-04-20,24,125.66102937326562,130.14892327945367
53,2020-04-21,11,57.594638462746744,130.14892327945367
54,2020-04-22,20,104.71752447772135,121.92111778477557
55,2020-04-23,25,130.8969055971517,121.92111778477557
56,2020-04-24,27,141.36865804492382,118.92918851398353
57,2020-04-25,10,52.35876223886068,98.73366593613727
58,2020-04-26,9,47.12288601497461,94.24577202994922
59,2020-04-27,21,109.95340070160742,92.00182507685518
60,2020-04-28,26,136.13278182103775,103.22155984232533
61,2020-04-29,20,104.71752447772135,103.22155984232533
62,2020-04-30,16,83.77401958217708,96.48971898304325
63,2020-05-01,12,62.83051468663281,85.2699842175731
64,2020-05-02,7,36.65113356720247,83.02603726447907
65,2020-05-03,12,62.83051468663281,85.2699842175731
66,2020-05-04,11,57.594638462746744,77.790161040593
67,2020-05-05,5,26.17938111943034,62.0825323689348
68,2020-05-06,18,94.24577202994922,60.58656773353878
69,2020-05-07,8,41.88700979108854,54.6027091919547
70,2020-05-08,9,47.12288601497461,52.35876223886068
71,2020-05-09,8,41.88700979108854,53.10674455655869
72,2020-05-10,9,47.12288601497461,50.86279760346466
73,2020-05-11,8,41.88700979108854,48.618850650370625
74,2020-05-12,12,62.83051468663281,53.8547268742567
75,2020-05-13,14,73.30226713440494,50.86279760346466
76,2020-05-14,15,78.53814335829101,56.09867382735072
77,2020-05-15,14,73.30226713440494,59.83858541584077
78,2020-05-16,11,57.594638462746744,62.0825323689348
79,2020-05-17,8,41.88700979108854,61.33455005123679
80,2020-05-18,17,89.00989580606314,68.06639091051888
81,2020-05-19,26,136.13278182103775,78.53814335829101
82,2020-05-20,43,225.1426776271009,100.22963057153329
83,2020-05-21,28,146.60453426880989,109.95340070160742
84,2020-05-22,20,104.71752447772135,114.44129460779547
85,2020-05-23,3,15.707628671658203,108.4574360662114
86,2020-05-24,9,47.12288601497461,109.2054183839094
87,2020-05-25,7,36.65113356720247,101.72559520692931
88,2020-05-26,11,57.594638462746744,90.50586044145916
89,2020-05-27,13,68.06639091051888,68.06639091051888
90,2020-05-28,8,41.88700979108854,53.10674455655869
91,2020-05-29,6,31.415257343316405,42.63499210878655
92,2020-05-30,11,57.594638462746744,48.618850650370625
93,2020-05-31,9,47.12288601497461,48.618850650370625
94,2020-06-01,9,47.12288601497461,50.114815285766646
95,2020-06-02,17,89.00989580606314,54.6027091919547
96,2020-06-03,6,31.415257343316405,49.366832968068636
97,2020-06-04,11,57.594638462746744,51.61077992116267
98,2020-06-05,9,47.12288601497461,53.8547268742567
99,2020-06-06,7,36.65113356720247,50.86279760346466
100,2020-06-07,4,20.94350489554427,47.12288601497461
101,2020-06-08,9,47.12288601497461,47.12288601497461
102,2020-06-09,5,26.17938111943034,38.14709820259849
103,2020-06-10,7,36.65113356720247,38.8950805202965
104,2020-06-11,8,41.88700979108854,36.65113356720247
105,2020-06-12,8,41.88700979108854,35.90315124950446
106,2020-06-13,9,47.12288601497461,37.39911588490048
107,2020-06-14,5,26.17938111943034,38.14709820259849
108,2020-06-15,8,41.88700979108854,37.39911588490048
109,2020-06-16,7,36.65113356720247,38.8950805202965
110,2020-06-17,3,15.707628671658203,35.90315124950446
111,2020-06-18,1,5.235876223886067,30.667275025618395
112,2020-06-19,2,10.471752447772134,26.17938111943034
113,2020-06-20,3,15.707628671658203,21.69148721324228
114,2020-06-21,0,0.0,17.95157562475223
115,2020-06-22,3,15.707628671658203,14.211664036262183
116,2020-06-23,3,15.707628671658203,11.219734765470145
117,2020-06-24,2,10.471752447772134,10.471752447772134
118,2020-06-25,1,5.235876223886067,10.471752447772134
119,2020-06-26,3,15.707628671658203,11.219734765470145
120,2020-06-27,2,10.471752447772134,10.471752447772134
121,2020-06-28,0,0.0,10.471752447772134
