,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-03-10,2,6.928854521770461,
1,2020-03-11,1,3.4644272608852305,
2,2020-03-12,0,0.0,
3,2020-03-13,3,10.393281782655691,
4,2020-03-14,0,0.0,
5,2020-03-15,5,17.322136304426152,
6,2020-03-16,0,0.0,5.444099981391076
7,2020-03-17,0,0.0,4.454263621138153
8,2020-03-18,6,20.786563565311383,6.928854521770461
9,2020-03-19,4,13.857709043540922,8.908527242276307
10,2020-03-20,2,6.928854521770461,8.413609062149845
11,2020-03-21,3,10.393281782655691,9.89836360252923
12,2020-03-22,6,20.786563565311383,10.393281782655691
13,2020-03-23,10,34.644272608852305,15.342463583920306
14,2020-03-24,9,31.179845347967074,19.79672720505846
15,2020-03-25,6,20.786563565311383,19.79672720505846
16,2020-03-26,8,27.715418087081844,21.776399925564306
17,2020-03-27,12,41.573127130622765,26.72558172682892
18,2020-03-28,10,34.644272608852305,30.19000898771415
19,2020-03-29,5,17.322136304426152,29.69509080758769
20,2020-03-30,11,38.108699869737535,30.19000898771415
21,2020-03-31,19,65.82411795681938,35.139190788978766
22,2020-04-01,15,51.96640891327846,39.59345441011692
23,2020-04-02,22,76.21739973947507,46.52230893188738
24,2020-04-03,14,48.501981652393226,47.5121452921403
25,2020-04-04,12,41.573127130622765,48.501981652393226
26,2020-04-05,16,55.43083617416369,53.9460816337843
27,2020-04-06,20,69.28854521770461,58.400345254922456
28,2020-04-07,18,62.35969069593415,57.905427074795995
29,2020-04-08,16,55.43083617416369,58.400345254922456
30,2020-04-09,17,58.89526343504892,55.92575435429015
31,2020-04-10,18,62.35969069593415,57.905427074795995
32,2020-04-11,14,48.501981652393226,58.89526343504892
33,2020-04-12,18,62.35969069593415,59.88509979530184
34,2020-04-13,9,31.179845347967074,54.440999813910764
35,2020-04-14,16,55.43083617416369,53.45116345365784
36,2020-04-15,16,55.43083617416369,53.45116345365784
37,2020-04-16,9,31.179845347967074,49.49181801264615
38,2020-04-17,24,83.14625426124553,52.46132709340492
39,2020-04-18,14,48.501981652393226,52.46132709340492
40,2020-04-19,7,24.250990826196613,47.01722711201384
41,2020-04-20,13,45.037554391507996,48.99689983251969
42,2020-04-21,30,103.93281782655691,55.92575435429015
43,2020-04-22,25,86.61068152213076,60.3800179754283
44,2020-04-23,26,90.07510878301599,68.79362703757815
45,2020-04-24,16,55.43083617416369,64.83428159656646
46,2020-04-25,25,86.61068152213076,70.27838157795753
47,2020-04-26,13,45.037554391507996,73.2478906587163
48,2020-04-27,33,114.3260996092126,83.14625426124553
49,2020-04-28,9,31.179845347967074,72.75297247858984
50,2020-04-29,14,48.501981652393226,67.30887249719876
51,2020-04-30,12,41.573127130622765,60.3800179754283
52,2020-05-01,23,79.6818270003603,63.84444523631353
53,2020-05-02,23,79.6818270003603,62.85460887606061
54,2020-05-03,8,27.715418087081844,60.3800179754283
55,2020-05-04,21,72.75297247858984,54.440999813910764
56,2020-05-05,8,27.715418087081844,53.9460816337843
57,2020-05-06,14,48.501981652393226,53.9460816337843
58,2020-05-07,13,45.037554391507996,54.440999813910764
59,2020-05-08,9,31.179845347967074,47.5121452921403
60,2020-05-09,5,17.322136304426152,38.603618049864
61,2020-05-10,10,34.644272608852305,39.59345441011692
62,2020-05-11,12,41.573127130622765,35.139190788978766
63,2020-05-12,17,58.89526343504892,39.59345441011692
64,2020-05-13,24,83.14625426124553,44.542636211381534
65,2020-05-14,15,51.96640891327846,45.53247257163446
66,2020-05-15,11,38.108699869737535,46.52230893188738
67,2020-05-16,7,24.250990826196613,47.5121452921403
68,2020-05-17,7,24.250990826196613,46.02739075176092
69,2020-05-18,16,55.43083617416369,48.007063472266765
70,2020-05-19,15,51.96640891327846,47.01722711201384
71,2020-05-20,5,17.322136304426152,37.61378168961107
72,2020-05-21,13,45.037554391507996,36.62394532935815
73,2020-05-22,8,27.715418087081844,35.139190788978766
74,2020-05-23,11,38.108699869737535,37.11886350948461
75,2020-05-24,8,27.715418087081844,37.61378168961107
76,2020-05-25,13,45.037554391507996,36.12902714923169
77,2020-05-26,17,58.89526343504892,37.11886350948461
78,2020-05-27,14,48.501981652393226,41.573127130622765
79,2020-05-28,22,76.21739973947507,46.02739075176092
80,2020-05-29,19,65.82411795681938,51.471490733151995
81,2020-05-30,3,10.393281782655691,47.5121452921403
82,2020-05-31,12,41.573127130622765,49.49181801264615
83,2020-06-01,7,24.250990826196613,46.52230893188738
84,2020-06-02,7,24.250990826196613,41.573127130622765
85,2020-06-03,9,31.179845347967074,39.09853622999046
86,2020-06-04,7,24.250990826196613,31.674763528093536
87,2020-06-05,7,24.250990826196613,25.735745366575998
88,2020-06-06,11,38.108699869737535,29.69509080758769
89,2020-06-07,1,3.4644272608852305,24.250990826196613
90,2020-06-08,7,24.250990826196613,24.250990826196613
91,2020-06-09,9,31.179845347967074,25.240827186449536
92,2020-06-10,10,34.644272608852305,25.735745366575998
93,2020-06-11,6,20.786563565311383,25.240827186449536
94,2020-06-12,3,10.393281782655691,23.26115446594369
95,2020-06-13,10,34.644272608852305,22.76623628581723
96,2020-06-14,5,17.322136304426152,24.745909006323075
97,2020-06-15,9,31.179845347967074,25.735745366575998
98,2020-06-16,6,20.786563565311383,24.250990826196613
99,2020-06-17,12,41.573127130622765,25.240827186449536
100,2020-06-18,8,27.715418087081844,26.23066354670246
