,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-02-28,1,0.6322891078716832,
1,2020-02-29,0,0.0,
2,2020-03-01,0,0.0,
3,2020-03-02,0,0.0,
4,2020-03-03,1,0.6322891078716832,
5,2020-03-04,0,0.0,
6,2020-03-05,2,1.2645782157433665,0.36130806164096185
7,2020-03-06,1,0.6322891078716832,0.36130806164096185
8,2020-03-07,1,0.6322891078716832,0.4516350770512023
9,2020-03-08,1,0.6322891078716832,0.5419620924614428
10,2020-03-09,2,1.2645782157433665,0.7226161232819237
11,2020-03-10,4,2.529156431486733,0.9935971695126451
12,2020-03-11,3,1.8968673236150497,1.2645782157433665
13,2020-03-12,6,3.7937346472300995,1.6258862773843283
14,2020-03-13,7,4.426023755101783,2.167848369845771
15,2020-03-14,5,3.161445539358416,2.529156431486733
16,2020-03-15,5,3.161445539358416,2.890464493127695
17,2020-03-16,8,5.058312862973466,3.4324265855891376
18,2020-03-17,5,3.161445539358416,3.522753600999378
19,2020-03-18,12,7.587469294460199,4.335696739691542
20,2020-03-19,14,8.852047510203565,5.058312862973466
21,2020-03-20,16,10.116625725946932,5.87125600166563
22,2020-03-21,7,4.426023755101783,6.051910032486111
23,2020-03-22,21,13.278071265305348,7.4971422790499584
24,2020-03-23,47,29.71758806996911,11.019895880049337
25,2020-03-24,37,23.394696991252278,13.910360373177031
26,2020-03-25,55,34.77590093294258,17.79442203581737
27,2020-03-26,55,34.77590093294258,21.49782966763723
28,2020-03-27,57,36.04047914868595,25.201237299457087
29,2020-03-28,49,30.982166285712477,28.994971946687187
30,2020-03-29,59,37.30505736442931,32.42739853227633
31,2020-03-30,63,39.83421379591604,33.872630778840175
32,2020-03-31,95,60.067465247809906,39.11159767263412
33,2020-04-01,112,70.81638008162852,44.26023755101782
34,2020-04-02,83,52.47999595334971,46.789393982504556
35,2020-04-03,93,58.80288703206654,50.04116653727321
36,2020-04-04,67,42.363370227402775,51.667052814657545
37,2020-04-05,73,46.15710487463288,52.93163103040091
38,2020-04-06,142,89.78505331777902,60.067465247809906
39,2020-04-07,122,77.13927116034536,62.5062946638864
40,2020-04-08,105,66.39035632652674,61.874005556014716
41,2020-04-09,118,74.61011472885862,65.03545109537313
42,2020-04-10,123,77.77156026821704,67.74526155768035
43,2020-04-11,60,37.937346472300995,67.11297244980867
44,2020-04-12,119,75.2424038367303,71.26801515867973
45,2020-04-13,120,75.87469294460199,69.28082081965444
46,2020-04-14,73,46.15710487463288,64.85479706455266
47,2020-04-15,180,113.81203941690298,71.62932322032069
48,2020-04-16,170,107.48914833818615,76.3263280216532
49,2020-04-17,184,116.34119584838972,81.83627596167786
50,2020-04-18,102,64.49348900291169,85.63001060890795
51,2020-04-19,86,54.376863276964755,82.64921910037002
52,2020-04-20,119,75.2424038367303,82.55889208495978
53,2020-04-21,134,84.72674045480555,88.06884002498445
54,2020-04-22,133,84.09445134693387,83.82347030070315
55,2020-04-23,102,64.49348900291169,77.68123325280679
56,2020-04-24,128,80.93300580757546,72.62292038983333
57,2020-04-25,100,63.228910787168324,72.44226635901285
58,2020-04-26,80,50.58312862973466,71.9003042665514
59,2020-04-27,100,63.228910787168324,70.18409097375684
60,2020-04-28,139,87.88818599416398,70.63572605080805
61,2020-04-29,165,104.32770279882773,73.52619054393574
62,2020-04-30,123,77.77156026821704,75.42305786755078
63,2020-05-01,91,57.53830881632317,72.0809582973719
64,2020-05-02,90,56.90601970845149,71.17768814326948
65,2020-05-03,73,46.15710487463288,70.5453990353978
66,2020-05-04,80,50.58312862973466,68.73885872719299
67,2020-05-05,125,79.0361384839604,67.47428051144962
68,2020-05-06,96,60.69975435568159,61.24171644814303
69,2020-05-07,88,55.641441492708125,58.08027090878462
70,2020-05-08,85,53.74457416909308,57.53830881632317
71,2020-05-09,50,31.614455393584162,53.925228199913555
72,2020-05-10,55,34.77590093294258,52.29934192252923
73,2020-05-11,121,76.50698205247367,56.00274955434909
74,2020-05-12,101,63.86119989504001,53.834901184503316
75,2020-05-13,113,71.44866918950021,55.3704604464774
76,2020-05-14,84,53.11228506122139,55.00915238483644
77,2020-05-15,73,46.15710487463288,53.925228199913555
78,2020-05-16,34,21.49782966763723,52.47999595334971
79,2020-05-17,68,42.99565933527446,53.65424715368284
80,2020-05-18,106,67.02264543439843,52.29934192252923
81,2020-05-19,128,80.93300580757546,54.738171338605724
82,2020-05-20,110,69.55180186588515,54.467190292375
83,2020-05-21,101,63.86119989504001,56.00274955434909
84,2020-05-22,51,32.246744501455844,54.0155552153238
85,2020-05-23,23,14.542649481048715,53.021958045811154
86,2020-05-24,52,32.87903360932753,51.576725799247306
87,2020-05-25,69,43.627948443146146,48.234626229068404
88,2020-05-26,63,39.83421379591604,42.363370227402775
89,2020-05-27,62,39.20192468804436,38.02767348771123
90,2020-05-28,52,32.87903360932753,33.60164973260945
91,2020-05-29,52,32.87903360932753,33.69197674801969
92,2020-05-30,51,32.246744501455844,36.221133179506424
93,2020-05-31,45,28.453009854225744,35.58884407163474
94,2020-06-01,63,39.83421379591604,35.0468819791733
95,2020-06-02,70,44.26023755101782,35.67917108704498
96,2020-06-03,64,40.46650290378773,35.85982511786546
97,2020-06-04,47,29.71758806996911,35.40819004081426
98,2020-06-05,61,38.56963558017268,36.221133179506424
99,2020-06-06,34,21.49782966763723,34.68557391753234
100,2020-06-07,20,12.645782157433665,32.42739853227633
101,2020-06-08,58,36.672768256557625,31.975763455225124
102,2020-06-09,51,32.246744501455844,30.259550162430553
103,2020-06-10,55,34.77590093294258,29.44660702373839
104,2020-06-11,21,13.278071265305348,27.09810462307214
105,2020-06-12,31,19.60096234402218,24.388294160764925
106,2020-06-13,23,14.542649481048715,23.394696991252278
107,2020-06-14,30,18.968673236150497,24.297967145354683
108,2020-06-15,38,24.026986099123963,22.491426837149874
109,2020-06-16,37,23.394696991252278,21.226848621406507
110,2020-06-17,30,18.968673236150497,18.968673236150497
111,2020-06-18,39,24.659275206995645,20.594559513534826
112,2020-06-19,29,18.336384128278812,20.413905482714345
113,2020-06-20,29,18.336384128278812,20.955867575175787
114,2020-06-21,23,14.542649481048715,20.323578467304102
115,2020-06-22,41,25.92385342273901,20.594559513534826
116,2020-06-23,22,13.910360373177031,19.239654282381217
117,2020-06-24,20,12.645782157433665,18.336384128278812
118,2020-06-25,26,16.439516804663764,17.162132927945688
119,2020-06-26,28,17.70409502040713,17.071805912535446
120,2020-06-27,14,8.852047510203565,15.71690068138184
121,2020-06-28,24,15.174938588920398,15.807227696792081
122,2020-06-29,28,17.70409502040713,14.632976496458955
123,2020-06-30,24,15.174938588920398,14.813630527279436
124,2020-07-01,26,16.439516804663764,15.355592619740879
125,2020-07-02,21,13.278071265305348,14.903957542689676
126,2020-07-03,27,17.071805912535446,14.813630527279436
127,2020-07-04,13,8.219758402331882,14.723303511869196
128,2020-07-05,17,10.748914833818615,14.091014403997512
129,2020-07-06,13,8.219758402331882,12.736109172843905
130,2020-07-07,16,10.116625725946932,12.013493049561982
131,2020-07-08,26,16.439516804663764,12.013493049561982
132,2020-07-09,25,15.807227696792081,12.374801111202943
133,2020-07-10,23,14.542649481048715,12.013493049561982
134,2020-07-11,15,9.484336618075249,12.194147080382463
135,2020-07-12,11,6.955180186588516,11.65218498792102
136,2020-07-13,24,15.174938588920398,12.645782157433665
137,2020-07-14,20,12.645782157433665,13.007090219074627
138,2020-07-15,24,15.174938588920398,12.826436188254146
139,2020-07-16,24,15.174938588920398,12.736109172843905
140,2020-07-17,19,12.013493049561982,12.374801111202943
141,2020-07-18,20,12.645782157433665,12.826436188254146
142,2020-07-19,17,10.748914833818615,13.368398280715589
143,2020-07-20,33,20.865540559765545,14.181341419407753
144,2020-07-21,26,16.439516804663764,14.723303511869196
145,2020-07-22,30,18.968673236150497,15.265265604330638
146,2020-07-23,23,14.542649481048715,15.174938588920398
147,2020-07-24,13,8.219758402331882,14.632976496458955
148,2020-07-25,11,6.955180186588516,13.82003335776679
149,2020-07-26,12,7.587469294460199,13.368398280715589
150,2020-07-27,25,15.807227696792081,12.645782157433665
151,2020-07-28,23,14.542649481048715,12.374801111202943
152,2020-07-29,26,16.439516804663764,12.013493049561982
153,2020-07-30,15,9.484336618075249,11.290876926280058
154,2020-07-31,10,6.322891078716832,11.019895880049337
155,2020-08-01,6,3.7937346472300995,10.568260802998134
156,2020-08-02,3,1.8968673236150497,9.75531766430597
157,2020-08-03,25,15.807227696792081,9.75531766430597
158,2020-08-04,12,7.587469294460199,8.761720494793325
159,2020-08-05,14,8.852047510203565,7.677796309870439
160,2020-08-06,16,10.116625725946932,7.76812332528068
161,2020-08-07,7,4.426023755101783,7.4971422790499584
162,2020-08-08,8,5.058312862973466,7.677796309870439
163,2020-08-09,6,3.7937346472300995,7.948777356101161
164,2020-08-10,18,11.381203941690298,7.3164882482294775
165,2020-08-11,11,6.955180186588516,7.226161232819237
166,2020-08-12,11,6.955180186588516,6.955180186588516
167,2020-08-13,9,5.690601970845149,6.322891078716832
168,2020-08-14,9,5.690601970845149,6.503545109537313
169,2020-08-15,6,3.7937346472300995,6.322891078716832
170,2020-08-16,3,1.8968673236150497,6.051910032486111
171,2020-08-17,21,13.278071265305348,6.322891078716832
172,2020-08-18,3,1.8968673236150497,5.600274955434909
173,2020-08-19,17,10.748914833818615,6.1422370478963515
174,2020-08-20,18,11.381203941690298,6.955180186588516
175,2020-08-21,14,8.852047510203565,7.406815263639718
176,2020-08-22,6,3.7937346472300995,7.406815263639718
177,2020-08-23,7,4.426023755101783,7.76812332528068
178,2020-08-24,11,6.955180186588516,6.864853171178275
179,2020-08-25,11,6.955180186588516,7.587469294460199
180,2020-08-26,11,6.955180186588516,7.045507201998756
181,2020-08-27,13,8.219758402331882,6.593872124947554
182,2020-08-28,15,9.484336618075249,6.684199140357794
183,2020-08-29,11,6.955180186588516,7.135834217408997
184,2020-08-30,21,13.278071265305348,8.400412433152363
185,2020-08-31,17,10.748914833818615,8.942374525613806
186,2020-09-01,14,8.852047510203565,9.213355571844527
187,2020-09-02,28,17.70409502040713,10.748914833818615
188,2020-09-03,21,13.278071265305348,11.471530957100539
189,2020-09-04,27,17.071805912535446,12.555455142023424
190,2020-09-05,15,9.484336618075249,12.916763203664386
191,2020-09-06,43,27.188431638482378,14.903957542689676
192,2020-09-07,29,18.336384128278812,15.987881727612562
193,2020-09-08,17,10.748914833818615,16.258862773843283
194,2020-09-09,19,12.013493049561982,15.44591963515112
195,2020-09-10,27,17.071805912535446,15.98788172761256
196,2020-09-11,26,16.439516804663764,15.897554712202322
197,2020-09-12,9,5.690601970845149,15.355592619740879
198,2020-09-13,10,6.322891078716832,12.374801111202943
199,2020-09-14,24,15.174938588920398,11.923166034151741
200,2020-09-15,19,12.013493049561982,12.103820064972222
201,2020-09-16,18,11.381203941690298,12.013493049561982
202,2020-09-17,23,14.542649481048715,11.65218498792102
203,2020-09-18,25,15.807227696792081,11.56185797251078
204,2020-09-19,24,15.174938588920398,12.916763203664386
205,2020-09-20,27,17.071805912535446,14.452322465638474
206,2020-09-21,36,22.762407883380597,15.53624665056136
207,2020-09-22,48,30.349877177840796,18.15573009745833
208,2020-09-23,41,25.92385342273901,20.233251451893864
209,2020-09-24,39,24.659275206995645,21.67848369845771
210,2020-09-25,25,15.807227696792081,21.67848369845771
211,2020-09-26,32,20.233251451893864,22.401099821739635
212,2020-09-27,39,24.659275206995645,23.48502400666252
213,2020-09-28,64,40.46650290378773,26.014180438149253
214,2020-09-29,43,27.188431638482378,25.56254536109805
215,2020-09-30,76,48.053972198247926,28.723990900456467
216,2020-10-01,89,56.27373060057981,33.24034167096849
217,2020-10-02,100,63.228910787168324,40.01486782673653
218,2020-10-03,88,55.641441492708125,45.07318068970999
219,2020-10-04,85,53.74457416909308,49.22822339858105
220,2020-10-05,152,96.10794439649585,57.17700075468221
221,2020-10-06,105,66.39035632652674,62.777275710117124
222,2020-10-07,132,83.46216223906218,67.83558857309059
223,2020-10-08,149,94.2110770728808,73.25520949770501
224,2020-10-09,123,77.77156026821704,75.33273085214054
225,2020-10-10,64,40.46650290378773,73.16488248229477
226,2020-10-11,73,46.15710487463288,72.0809582973719
227,2020-10-12,116,73.34553651311525,68.82918574260323
228,2020-10-13,131,82.82987313119051,71.17768814326948
229,2020-10-14,133,84.09445134693387,71.26801515867973
230,2020-10-15,141,89.15276420990733,70.5453990353978
231,2020-10-16,129,81.56529491544714,71.08736112785924
232,2020-10-17,102,64.49348900291169,74.51978771344838
233,2020-10-18,106,67.02264543439843,77.50057922198631
234,2020-10-19,205,129.61926711369506,85.53968359349771
235,2020-10-20,212,134.04529086879685,92.85617184172719
236,2020-10-21,206,130.25155622156674,99.45004396667476
237,2020-10-22,169,106.85685923031447,101.97920039816148
238,2020-10-23,10,6.322891078716832,91.23028556434286
239,2020-10-24,1,0.6322891078716832,82.10725700790859
