,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-02-29,1,5.633580647523759,
1,2020-03-01,0,0.0,
2,2020-03-02,0,0.0,
3,2020-03-03,0,0.0,
4,2020-03-04,0,0.0,
5,2020-03-05,0,0.0,
6,2020-03-06,0,0.0,0.804797235360537
7,2020-03-07,0,0.0,0.0
8,2020-03-08,1,5.633580647523759,0.804797235360537
9,2020-03-09,0,0.0,0.804797235360537
10,2020-03-10,0,0.0,0.804797235360537
11,2020-03-11,1,5.633580647523759,1.609594470721074
12,2020-03-12,1,5.633580647523759,2.414391706081611
13,2020-03-13,1,5.633580647523759,3.219188941442148
14,2020-03-14,3,16.90074194257128,5.633580647523759
15,2020-03-15,2,11.267161295047519,6.438377882884296
16,2020-03-16,5,28.1679032376188,10.462364059686982
17,2020-03-17,6,33.80148388514256,15.291147471850206
18,2020-03-18,2,11.267161295047519,16.09594470721074
19,2020-03-19,6,33.80148388514256,20.119930884013428
20,2020-03-20,6,33.80148388514256,24.143917060816115
21,2020-03-21,1,5.633580647523759,22.534322590095037
22,2020-03-22,1,5.633580647523759,21.729525354734502
23,2020-03-23,11,61.969387122761354,26.558308766897724
24,2020-03-24,16,90.13729036038015,34.60628112050309
25,2020-03-25,13,73.23654841780888,43.459050709469004
26,2020-03-26,13,73.23654841780888,49.09263135699276
27,2020-03-27,11,61.969387122761354,53.11661753379545
28,2020-03-28,6,33.80148388514256,57.140603710598135
29,2020-03-29,13,73.23654841780888,66.79817053492458
30,2020-03-30,19,107.03803230295144,73.23654841780888
31,2020-03-31,12,67.60296777028512,70.01735947636672
32,2020-04-01,9,50.70222582771384,66.79817053492458
33,2020-04-02,16,90.13729036038015,69.2125622410062
34,2020-04-03,20,112.6716129504752,76.45573735925103
35,2020-04-04,11,61.969387122761354,80.47972353605371
36,2020-04-05,9,50.70222582771384,77.26053459461156
37,2020-04-06,13,73.23654841780888,72.43175118244834
38,2020-04-07,18,101.40445165542768,77.26053459461156
39,2020-04-08,21,118.30519359799895,86.91810141893801
