,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-02-07,0,0.0,
1,2020-02-08,0,0.0,
2,2020-02-09,0,0.0,
3,2020-02-10,0,0.0,
4,2020-02-11,0,0.0,
5,2020-02-12,0,0.0,
6,2020-02-13,0,0.0,0.0
7,2020-02-14,0,0.0,0.0
8,2020-02-15,0,0.0,0.0
9,2020-02-16,0,0.0,0.0
10,2020-02-17,0,0.0,0.0
11,2020-02-18,0,0.0,0.0
12,2020-02-19,0,0.0,0.0
13,2020-02-20,0,0.0,0.0
14,2020-02-21,0,0.0,0.0
15,2020-02-22,0,0.0,0.0
16,2020-02-23,0,0.0,0.0
17,2020-02-24,0,0.0,0.0
18,2020-02-25,0,0.0,0.0
19,2020-02-26,0,0.0,0.0
20,2020-02-27,0,0.0,0.0
21,2020-02-28,0,0.0,0.0
22,2020-02-29,0,0.0,0.0
23,2020-03-01,0,0.0,0.0
24,2020-03-02,0,0.0,0.0
25,2020-03-03,0,0.0,0.0
26,2020-03-04,0,0.0,0.0
27,2020-03-05,0,0.0,0.0
28,2020-03-06,0,0.0,0.0
29,2020-03-07,0,0.0,0.0
30,2020-03-08,0,0.0,0.0
31,2020-03-09,1,6.849221243544609,0.9784601776492299
32,2020-03-10,0,0.0,0.9784601776492299
33,2020-03-11,3,20.54766373063383,3.91384071059692
34,2020-03-12,2,13.698442487089219,5.87076106589538
35,2020-03-13,1,6.849221243544609,6.849221243544609
36,2020-03-14,1,6.849221243544609,7.827681421193839
37,2020-03-15,0,0.0,7.827681421193839
38,2020-03-16,1,6.849221243544609,7.827681421193839
39,2020-03-17,1,6.849221243544609,8.80614159884307
40,2020-03-18,1,6.849221243544609,6.849221243544609
41,2020-03-19,2,13.698442487089219,6.849221243544609
42,2020-03-20,2,13.698442487089219,7.827681421193839
43,2020-03-21,5,34.246106217723046,11.74152213179076
44,2020-03-22,2,13.698442487089219,13.698442487089219
45,2020-03-23,6,41.09532746126766,18.590743375335368
46,2020-03-24,3,20.54766373063383,20.54766373063383
47,2020-03-25,9,61.64299119190149,28.375345151827666
48,2020-03-26,11,75.3414336789907,37.181486750670736
49,2020-03-27,3,20.54766373063383,38.15994692831997
50,2020-03-28,8,54.793769948356875,41.09532746126766
51,2020-03-29,6,41.09532746126766,45.00916817186457
52,2020-03-30,7,47.94454870481226,45.987628349513805
53,2020-03-31,21,143.8336461144368,63.599911547199945
54,2020-04-01,11,75.3414336789907,65.5568319024984
55,2020-04-02,4,27.396884974178437,58.70761065895379
56,2020-04-03,12,82.19065492253532,67.51375225779687
57,2020-04-04,6,41.09532746126766,65.5568319024984
58,2020-04-05,12,82.19065492253532,71.42759296839378
59,2020-04-06,7,47.94454870481226,71.42759296839378
60,2020-04-07,10,68.49221243544609,60.664531014252255
61,2020-04-08,12,82.19065492253532,61.64299119190149
62,2020-04-09,5,34.246106217723046,62.62145136955071
63,2020-04-10,5,34.246106217723046,55.77223012600611
64,2020-04-11,7,47.94454870481226,56.75069030365533
65,2020-04-12,4,27.396884974178437,48.923008882461495
66,2020-04-13,11,75.3414336789907,52.83684959305842
67,2020-04-14,7,47.94454870481226,49.90146906011073
68,2020-04-15,7,47.94454870481226,45.00916817186457
69,2020-04-16,14,95.88909740962453,53.81530977070764
70,2020-04-17,15,102.73831865316915,63.599911547199945
71,2020-04-18,14,95.88909740962453,70.44913279074456
