,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-03-04,2,9.387379606856543,
1,2020-03-05,0,0.0,
2,2020-03-06,0,0.0,
3,2020-03-07,0,0.0,
4,2020-03-08,0,0.0,
5,2020-03-09,0,0.0,
6,2020-03-10,0,0.0,1.3410542295509347
7,2020-03-11,0,0.0,0.0
8,2020-03-12,0,0.0,0.0
9,2020-03-13,1,4.6936898034282715,0.6705271147754673
10,2020-03-14,0,0.0,0.6705271147754673
11,2020-03-15,0,0.0,0.6705271147754673
12,2020-03-16,0,0.0,0.6705271147754673
13,2020-03-17,5,23.468449017141356,4.023162688652804
14,2020-03-18,6,28.162138820569627,8.046325377305608
15,2020-03-19,4,18.774759213713086,10.728433836407477
16,2020-03-20,9,42.24320823085444,16.092650754611217
17,2020-03-21,3,14.081069410284814,18.10423209893762
18,2020-03-22,5,23.468449017141356,21.456867672814955
19,2020-03-23,7,32.8558286239979,26.150557476243225
20,2020-03-24,15,70.40534705142407,32.8558286239979
21,2020-03-25,11,51.63058783771098,36.20846419787524
22,2020-03-26,9,42.24320823085444,39.56109977175257
23,2020-03-27,12,56.324277641139254,41.572681116078975
24,2020-03-28,10,46.93689803428271,46.266370919507246
25,2020-03-29,10,46.93689803428271,49.61900649338458
26,2020-03-30,16,75.09903685485234,55.65375052636379
27,2020-03-31,26,122.03593488913505,63.029548788893926
28,2020-04-01,17,79.79272665828061,67.05271147754674
29,2020-04-02,23,107.95486547885024,76.44009108440328
30,2020-04-03,18,84.48641646170888,80.46325377305608
31,2020-04-04,14,65.7116572479958,83.14536223215795
32,2020-04-05,27,126.72962469256332,94.5443231833409
33,2020-04-06,28,131.4233144959916,102.5906485606465
34,2020-04-07,30,140.81069410284815,105.27275701974837
35,2020-04-08,35,164.2791431199895,117.34224508570678
36,2020-04-09,16,75.09903685485234,112.64855528227851
37,2020-04-10,22,103.26117567542197,115.33066374138038
38,2020-04-11,16,75.09903685485234,116.67171797093131
39,2020-04-12,23,107.95486547885024,113.98960951182944
40,2020-04-13,15,70.40534705142407,105.27275701974837
41,2020-04-14,24,112.64855528227851,101.24959433109557
42,2020-04-15,8,37.54951842742617,83.14536223215795
