,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-03-12,2,7.801072647489029,
1,2020-03-13,0,0.0,
2,2020-03-14,1,3.9005363237445145,
3,2020-03-15,0,0.0,
4,2020-03-16,0,0.0,
5,2020-03-17,1,3.9005363237445145,
6,2020-03-18,1,3.9005363237445145,2.7860973741032247
7,2020-03-19,1,3.9005363237445145,2.2288778992825797
8,2020-03-20,1,3.9005363237445145,2.7860973741032247
9,2020-03-21,2,7.801072647489029,3.3433168489238696
10,2020-03-22,2,7.801072647489029,4.4577557985651595
11,2020-03-23,4,15.602145294978058,6.686633697847739
12,2020-03-24,5,19.502681618722573,8.915511597130319
13,2020-03-25,5,19.502681618722573,11.144389496412899
14,2020-03-26,5,19.502681618722573,13.373267395695478
15,2020-03-27,3,11.701608971233544,14.487706345336768
16,2020-03-28,4,15.602145294978058,15.602145294978058
17,2020-03-29,17,66.30911750365675,23.960437417287732
18,2020-03-30,14,54.6075085324232,29.53263216549418
19,2020-03-31,3,11.701608971233544,28.41819321585289
20,2020-04-01,17,66.30911750365675,35.104826913700634
21,2020-04-02,9,35.104826913700634,37.333704812983214
22,2020-04-03,11,42.90589956118966,41.79146061154837
23,2020-04-04,6,23.403217942467087,42.90589956118966
24,2020-04-05,15,58.50804485616772,41.79146061154837
25,2020-04-06,5,19.502681618722573,36.776485338162566
26,2020-04-07,11,42.90589956118966,41.234241136727725
27,2020-04-08,18,70.20965382740127,41.79146061154837
28,2020-04-09,11,42.90589956118966,42.90589956118966
29,2020-04-10,24,93.61287176986835,50.149752733858044
30,2020-04-11,12,46.806435884934174,53.493069582781914
31,2020-04-12,10,39.005363237445145,50.70697220867869
32,2020-04-13,15,58.50804485616772,56.27916695688514
33,2020-04-14,14,54.6075085324232,57.95082538134707
34,2020-04-15,16,62.40858117991223,56.83638643170578
35,2020-04-16,10,39.005363237445145,56.27916695688514
36,2020-04-17,16,62.40858117991223,51.82141115831998
37,2020-04-18,14,54.6075085324232,52.93585010796127
38,2020-04-19,14,54.6075085324232,55.16472800724385
39,2020-04-20,17,66.30911750365675,56.27916695688514
40,2020-04-21,21,81.91126279863481,60.17970328062965
41,2020-04-22,20,78.01072647489029,62.40858117991223
42,2020-04-23,25,97.51340809361287,70.76687330222191
43,2020-04-24,24,93.61287176986835,75.22462910078707
44,2020-04-25,20,78.01072647489029,78.56794594971093
45,2020-04-26,16,62.40858117991223,79.68238489935223
46,2020-04-27,22,85.81179912237933,82.46848227345545
47,2020-04-28,27,105.31448074110189,85.81179912237933
48,2020-04-29,22,85.81179912237933,86.92623807202061
49,2020-04-30,45,175.52413456850314,98.07062756843351
50,2020-05-01,27,105.31448074110189,99.74228599289545
51,2020-05-02,26,101.41394441735738,103.08560284181931
52,2020-05-03,21,81.91126279863481,105.87170021592254
53,2020-05-04,20,78.01072647489029,104.75726126628125
54,2020-05-05,29,113.11555338859093,105.87170021592254
55,2020-05-06,38,148.22038030229155,114.78721181305285
56,2020-05-07,31,120.91662603607995,106.98613916556383
57,2020-05-08,30,117.01608971233544,108.65779759002577
58,2020-05-09,8,31.204290589956116,98.62784704325415
59,2020-05-10,20,78.01072647489029,98.07062756843351
60,2020-05-11,22,85.81179912237933,99.1850665180748
61,2020-05-12,35,136.51877133105802,102.52838336699867
62,2020-05-13,19,74.11019015114577,91.94121334540641
63,2020-05-14,27,105.31448074110189,89.71233544612383
64,2020-05-15,20,78.01072647489029,84.14014069791739
65,2020-05-16,16,62.40858117991223,88.59789649648255
66,2020-05-17,10,39.005363237445145,83.02570174827609
67,2020-05-18,13,50.70697220867869,78.01072647489029
68,2020-05-19,15,58.50804485616772,66.86633697847739
69,2020-05-20,20,78.01072647489029,67.42355645329803
70,2020-05-21,13,50.70697220867869,59.62248380580901
71,2020-05-22,19,74.11019015114577,59.06526433098836
72,2020-05-23,10,39.005363237445145,55.72194748206449
73,2020-05-24,16,62.40858117991223,59.06526433098836
74,2020-05-25,12,46.806435884934174,58.50804485616772
75,2020-05-26,18,70.20965382740127,60.17970328062965
76,2020-05-27,29,113.11555338859093,65.19467855401545
77,2020-05-28,16,62.40858117991223,66.86633697847739
78,2020-05-29,11,42.90589956118966,62.40858117991223
79,2020-05-30,14,54.6075085324232,64.63745907919481
80,2020-05-31,14,54.6075085324232,63.52302012955352
81,2020-06-01,17,66.30911750365675,66.30911750365675
82,2020-06-02,15,58.50804485616772,64.63745907919481
83,2020-06-03,10,39.005363237445145,54.05028905760256
84,2020-06-04,11,42.90589956118966,51.264191683499334
85,2020-06-05,13,50.70697220867869,52.378630633140624
86,2020-06-06,4,15.602145294978058,46.806435884934174
87,2020-06-07,4,15.602145294978058,41.234241136727725
88,2020-06-08,5,19.502681618722573,34.547607438879986
89,2020-06-09,13,50.70697220867869,33.433168489238696
90,2020-06-10,6,23.403217942467087,31.204290589956116
91,2020-06-11,9,35.104826913700634,30.089851640314826
92,2020-06-12,5,19.502681618722573,25.632095841749667
93,2020-06-13,14,54.6075085324232,31.204290589956116
94,2020-06-14,5,19.502681618722573,31.76151006477676
95,2020-06-15,4,15.602145294978058,31.204290589956116
96,2020-06-16,10,39.005363237445145,29.53263216549418
97,2020-06-17,9,35.104826913700634,31.204290589956116
98,2020-06-18,9,35.104826913700634,31.204290589956116
99,2020-06-19,7,27.3037542662116,32.318729539597406
100,2020-06-20,5,19.502681618722573,27.3037542662116
101,2020-06-21,2,7.801072647489029,25.632095841749667
102,2020-06-22,5,19.502681618722573,26.189315316570312
103,2020-06-23,11,42.90589956118966,26.746534791390957
104,2020-06-24,7,27.3037542662116,25.632095841749667
105,2020-06-25,7,27.3037542662116,24.517656892108377
106,2020-06-26,5,19.502681618722573,23.403217942467087
107,2020-06-27,2,7.801072647489029,21.731559518005152
108,2020-06-28,0,0.0,20.617120568363863
109,2020-06-29,2,7.801072647489029,18.945462143901928
110,2020-06-30,8,31.204290589956116,17.273803719439993
111,2020-07-01,4,15.602145294978058,15.602145294978058
112,2020-07-02,8,31.204290589956116,16.159364769798703
113,2020-07-03,2,7.801072647489029,14.487706345336768
114,2020-07-04,1,3.9005363237445145,13.930486870516123
115,2020-07-05,6,23.403217942467087,17.273803719439993
116,2020-07-06,6,23.403217942467087,19.502681618722573
117,2020-07-07,3,11.701608971233544,16.716584244619348
118,2020-07-08,10,39.005363237445145,20.059901093543218
119,2020-07-09,5,19.502681618722573,18.388242669081283
120,2020-07-10,2,7.801072647489029,18.388242669081283
121,2020-07-11,1,3.9005363237445145,18.388242669081283
122,2020-07-12,0,0.0,15.044925820157413
123,2020-07-13,2,7.801072647489029,12.816047920874833
124,2020-07-14,2,7.801072647489029,12.258828446054189
125,2020-07-15,1,3.9005363237445145,7.243853172668384
126,2020-07-16,0,0.0,4.4577557985651595
127,2020-07-17,3,11.701608971233544,5.014975273385804
128,2020-07-18,3,11.701608971233544,6.129414223027094
129,2020-07-19,0,0.0,6.129414223027094
130,2020-07-20,0,0.0,5.014975273385804
131,2020-07-21,3,11.701608971233544,5.572194748206449
132,2020-07-22,3,11.701608971233544,6.686633697847739
133,2020-07-23,2,7.801072647489029,7.801072647489029
134,2020-07-24,1,3.9005363237445145,6.686633697847739
135,2020-07-25,0,0.0,5.014975273385804
136,2020-07-26,0,0.0,5.014975273385804
137,2020-07-27,2,7.801072647489029,6.129414223027094
138,2020-07-28,4,15.602145294978058,6.686633697847739
139,2020-07-29,3,11.701608971233544,6.686633697847739
140,2020-07-30,0,0.0,5.572194748206449
141,2020-07-31,0,0.0,5.014975273385804
142,2020-08-01,2,7.801072647489029,6.129414223027094
143,2020-08-02,4,15.602145294978058,8.358292122309674
144,2020-08-03,8,31.204290589956116,11.701608971233544
145,2020-08-04,9,35.104826913700634,14.487706345336768
146,2020-08-05,6,23.403217942467087,16.159364769798703
147,2020-08-06,4,15.602145294978058,18.388242669081283
148,2020-08-07,5,19.502681618722573,21.174340043184507
149,2020-08-08,9,35.104826913700634,25.074876366929022
150,2020-08-09,1,3.9005363237445145,23.403217942467087
151,2020-08-10,7,27.3037542662116,22.845998467646442
152,2020-08-11,5,19.502681618722573,20.617120568363863
153,2020-08-12,7,27.3037542662116,21.174340043184507
154,2020-08-13,6,23.403217942467087,22.288778992825797
155,2020-08-14,12,46.806435884934174,26.189315316570312
156,2020-08-15,19,74.11019015114577,31.76151006477676
157,2020-08-16,6,23.403217942467087,34.547607438879986
158,2020-08-17,13,50.70697220867869,37.890924287803855
159,2020-08-18,7,27.3037542662116,39.005363237445145
160,2020-08-19,14,54.6075085324232,42.905899561189656
161,2020-08-20,12,46.806435884934174,46.24921641011353
162,2020-08-21,6,23.403217942467087,42.905899561189656
163,2020-08-22,1,3.9005363237445145,32.875949014418055
164,2020-08-23,7,27.3037542662116,33.433168489238696
165,2020-08-24,4,15.602145294978058,28.41819321585289
166,2020-08-25,11,42.90589956118966,30.64707111513547
167,2020-08-26,7,27.3037542662116,26.746534791390957
168,2020-08-27,6,23.403217942467087,23.403217942467087
169,2020-08-28,6,23.403217942467087,23.403217942467087
170,2020-08-29,4,15.602145294978058,25.074876366929022
171,2020-08-30,1,3.9005363237445145,21.731559518005152
172,2020-08-31,9,35.104826913700634,24.517656892108377
173,2020-09-01,17,66.30911750365675,27.860973741032247
174,2020-09-02,18,70.20965382740127,33.990387964059344
175,2020-09-03,12,46.806435884934174,37.333704812983214
176,2020-09-04,5,19.502681618722573,36.776485338162566
177,2020-09-05,9,35.104826913700634,39.562582712265794
178,2020-09-06,7,27.3037542662116,42.90589956118966
179,2020-09-07,18,70.20965382740127,47.920874834575464
180,2020-09-08,11,42.90589956118966,44.577557985651595
181,2020-09-09,15,58.50804485616772,42.90589956118966
182,2020-09-10,8,31.204290589956116,40.677021661907084
183,2020-09-11,9,35.104826913700634,42.90589956118966
184,2020-09-12,13,50.70697220867869,45.13477746047224
185,2020-09-13,6,23.403217942467087,44.577557985651595
186,2020-09-14,14,54.6075085324232,42.348680086369015
187,2020-09-15,19,74.11019015114577,46.806435884934174
188,2020-09-16,13,50.70697220867869,45.691996935292885
189,2020-09-17,12,46.806435884934174,47.920874834575464
190,2020-09-18,15,58.50804485616772,51.264191683499334
191,2020-09-19,12,46.806435884934174,50.70697220867869
192,2020-09-20,15,58.50804485616772,55.72194748206449
193,2020-09-21,13,50.70697220867869,55.16472800724385
194,2020-09-22,18,70.20965382740127,54.6075085324232
195,2020-09-23,16,62.40858117991223,56.27916695688514
196,2020-09-24,17,66.30911750365675,59.06526433098836
197,2020-09-25,19,74.11019015114577,61.29414223027094
198,2020-09-26,20,78.01072647489029,65.75189802883611
199,2020-09-27,24,93.61287176986835,70.76687330222191
200,2020-09-28,15,58.50804485616772,71.88131225186319
201,2020-09-29,20,78.01072647489029,72.99575120150449
202,2020-09-30,25,97.51340809361287,78.01072647489029
203,2020-10-01,38,148.22038030229155,89.71233544612383
204,2020-10-02,26,101.41394441735738,93.61287176986835
205,2020-10-03,8,31.204290589956116,86.92623807202061
206,2020-10-04,23,89.71233544612383,86.36901859719997
