,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-03-07,1,5.560065386368943,
1,2020-03-08,0,0.0,
2,2020-03-09,0,0.0,
3,2020-03-10,0,0.0,
4,2020-03-11,0,0.0,
5,2020-03-12,0,0.0,
6,2020-03-13,0,0.0,0.7942950551955633
7,2020-03-14,1,5.560065386368943,0.7942950551955633
8,2020-03-15,0,0.0,0.7942950551955633
9,2020-03-16,1,5.560065386368943,1.5885901103911266
10,2020-03-17,0,0.0,1.5885901103911266
11,2020-03-18,1,5.560065386368943,2.3828851655866896
12,2020-03-19,2,11.120130772737886,3.9714752759778165
13,2020-03-20,1,5.560065386368943,4.765770331173379
14,2020-03-21,2,11.120130772737886,5.560065386368943
15,2020-03-22,0,0.0,5.560065386368943
16,2020-03-23,5,27.800326931844715,8.737245607151197
17,2020-03-24,3,16.68019615910683,11.120130772737886
18,2020-03-25,3,16.68019615910683,12.708720883129013
19,2020-03-26,6,33.36039231821366,15.885901103911268
20,2020-03-27,8,44.48052309095154,21.44596649028021
21,2020-03-28,6,33.36039231821366,24.623146711062464
22,2020-03-29,10,55.60065386368943,32.566097263018094
23,2020-03-30,6,33.36039231821366,33.36039231821366
24,2020-03-31,6,33.36039231821366,35.74327748380035
25,2020-04-01,4,22.24026154547577,36.53757253899592
26,2020-04-02,7,38.9204577045826,37.33186759419148
27,2020-04-03,7,38.9204577045826,36.53757253899592
28,2020-04-04,7,38.9204577045826,37.33186759419148
29,2020-04-05,10,55.60065386368943,37.33186759419148
30,2020-04-06,3,16.68019615910683,34.948982428604786
31,2020-04-07,11,61.16071925005838,38.9204577045826
32,2020-04-08,6,33.36039231821366,40.50904781497373
33,2020-04-09,2,11.120130772737886,36.53757253899591
34,2020-04-10,7,38.9204577045826,36.53757253899591
35,2020-04-11,2,11.120130772737886,32.566097263018094
36,2020-04-12,3,16.68019615910683,27.006031876649153
37,2020-04-13,3,16.68019615910683,27.006031876649153
38,2020-04-14,5,27.800326931844715,22.240261545475775
39,2020-04-15,7,38.9204577045826,23.034556600671337
40,2020-04-16,7,38.9204577045826,27.006031876649153
41,2020-04-17,10,55.60065386368943,29.388917042235843
42,2020-04-18,18,100.08117695464098,42.09763792536486
43,2020-04-19,6,33.36039231821366,44.48052309095155
44,2020-04-20,10,55.60065386368943,50.04058847732049
45,2020-04-21,9,50.04058847732049,53.217768698102745
46,2020-04-22,20,111.20130772737886,63.54360441564506
47,2020-04-23,14,77.8409154091652,69.10366980201401
48,2020-04-24,4,22.24026154547577,64.33789947084063
49,2020-04-25,11,61.16071925005838,58.777834084471685
50,2020-04-26,6,33.36039231821366,58.777834084471685
51,2020-04-27,9,50.04058847732049,57.98353902927612
52,2020-04-28,7,38.9204577045826,56.39494891888499
53,2020-04-29,10,55.60065386368943,48.45199836692936
54,2020-04-30,9,50.04058847732049,44.48052309095155
