,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-03-01,1,3.0332719601306732,
1,2020-03-02,1,3.0332719601306732,
2,2020-03-03,1,3.0332719601306732,
3,2020-03-04,0,0.0,
4,2020-03-05,0,0.0,
5,2020-03-06,0,0.0,
6,2020-03-07,0,0.0,1.29997369719886
7,2020-03-08,2,6.0665439202613465,1.7332982629318132
8,2020-03-09,2,6.0665439202613465,2.1666228286647664
9,2020-03-10,9,27.29944764117606,5.633219354528393
10,2020-03-11,10,30.332719601306735,9.966465011857927
11,2020-03-12,12,36.39926352156808,15.166359800653368
12,2020-03-13,4,12.133087840522693,16.89965806358518
13,2020-03-14,11,33.365991561437404,21.666228286647666
14,2020-03-15,12,36.39926352156808,25.9994739439772
15,2020-03-16,13,39.43253548169876,30.766044167039688
16,2020-03-17,20,60.66543920261347,35.532614390102175
17,2020-03-18,15,45.4990794019601,37.69923721876694
18,2020-03-19,17,51.56562332222145,39.86586004743171
19,2020-03-20,23,69.76525508300548,48.09902679635782
20,2020-03-21,16,48.53235136209077,50.26564962502259
21,2020-03-22,16,48.53235136209077,51.9989478879544
22,2020-03-23,27,81.89834292352818,58.06549180821575
23,2020-03-24,28,84.93161488365885,61.532088334079376
24,2020-03-25,45,136.4972382058803,74.53182530606797
25,2020-03-26,32,97.06470272418154,81.03169379206227
26,2020-03-27,30,90.9981588039202,84.06496575219295
27,2020-03-28,20,60.66543920261347,85.79826401512476
28,2020-03-29,23,69.76525508300548,88.83153597525543
29,2020-03-30,29,87.96488684378953,89.69818510672134
30,2020-03-31,41,124.3641503653576,95.33140446124973
31,2020-04-01,39,118.29760644509626,92.73145706685202
32,2020-04-02,39,118.29760644509626,95.76472902698269
33,2020-04-03,28,84.93161488365885,94.89807989551679
34,2020-04-04,28,84.93161488365885,98.36467642138041
35,2020-04-05,18,54.59889528235212,96.19805359271564
36,2020-04-06,35,106.16451860457357,98.79800098711335
37,2020-04-07,26,78.86507096339751,92.29813250111906
38,2020-04-08,26,78.86507096339751,86.66491314659066
39,2020-04-09,24,72.79852704313616,80.16504466059637
40,2020-04-10,29,87.96488684378953,80.59836922632932
41,2020-04-11,14,42.465807441829426,74.53182530606797
42,2020-04-12,11,33.365991561437404,71.4985533459373
43,2020-04-13,17,51.56562332222145,63.69871116274414
