,date,newCases,newCasesPerMillion,newCasesPerMillion7Day
0,2020-03-02,2,3.4606087556862124,
1,2020-03-03,0,0.0,
2,2020-03-04,2,3.4606087556862124,
3,2020-03-05,2,3.4606087556862124,
4,2020-03-06,0,0.0,
5,2020-03-07,0,0.0,
6,2020-03-08,0,0.0,1.4831180381512339
7,2020-03-09,1,1.7303043778431062,1.2359316984593616
8,2020-03-10,3,5.190913133529319,1.9774907175349785
9,2020-03-11,2,3.4606087556862124,1.9774907175349785
10,2020-03-12,4,6.921217511372425,2.471863396918723
11,2020-03-13,3,5.190913133529319,3.2134224159943403
12,2020-03-14,1,1.7303043778431062,3.4606087556862124
13,2020-03-15,3,5.190913133529319,4.20216777476183
14,2020-03-16,8,13.84243502274485,5.9324721526049355
15,2020-03-17,4,6.921217511372425,6.179658492296808
16,2020-03-18,15,25.954565667646595,9.393080908291148
17,2020-03-19,8,13.84243502274485,10.381826267058637
18,2020-03-20,12,20.763652534117277,12.60650332428549
19,2020-03-21,9,15.572739400587956,14.583994041820468
20,2020-03-22,7,12.112130644901743,15.572739400587956
21,2020-03-23,29,50.178826957450084,20.763652534117277
22,2020-03-24,20,34.60608755686213,24.718633969187234
23,2020-03-25,14,24.224261289803486,24.471447629495362
24,2020-03-26,28,48.44852257960697,29.415174423332807
25,2020-03-27,18,31.145478801175912,30.89829246148404
26,2020-03-28,27,46.71821820176387,35.347646575937745
27,2020-03-29,26,44.98791382392076,40.044187030083314
28,2020-03-30,40,69.21217511372426,42.763236766693915
29,2020-03-31,20,34.60608755686213,42.763236766693915
30,2020-04-01,30,51.90913133529319,46.71821820176387
31,2020-04-02,51,88.24552326999842,52.40350401467693
32,2020-04-03,39,67.48187073588115,57.594417148206254
33,2020-04-04,37,64.02126198019494,60.066280545124975
34,2020-04-05,24,41.527305068234554,59.57190786574123
35,2020-04-06,37,64.02126198019494,58.830348846665615
36,2020-04-07,38,65.75156635803803,63.27970296111931
37,2020-04-08,31,53.639435713136294,63.526889300811185
38,2020-04-09,40,69.21217511372426,60.80783956420059
39,2020-04-10,29,50.178826957450084,58.33597616728187
40,2020-04-11,34,58.830348846665615,57.594417148206254
41,2020-04-12,22,38.06669631254834,57.10004446882251
42,2020-04-13,28,48.44852257960697,54.875367411595654
43,2020-04-14,20,34.60608755686213,50.42601329714196
44,2020-04-15,35,60.56065322450872,51.414758655909445
45,2020-04-16,52,89.97582764784153,54.38099473221191
46,2020-04-17,31,53.639435713136294,54.875367411595654
47,2020-04-18,75,129.77282833823298,65.01000733896242
48,2020-04-19,33,57.10004446882251,67.72905707557302
49,2020-04-20,35,60.56065322450872,69.45936145341612
50,2020-04-21,36,62.290957602351824,73.41434288848609
51,2020-04-22,48,83.05461013646911,76.62776530448042
52,2020-04-23,32,55.3697400909794,71.68403851064298
53,2020-04-24,48,83.05461013646911,75.88620628540481
54,2020-04-25,46,79.59400138078288,68.71780243434051
55,2020-04-26,31,53.639435713136294,68.22342975495677
56,2020-04-27,52,89.97582764784153,72.42559752971859
57,2020-04-28,43,74.40308824725356,74.1559019075617
58,2020-04-29,46,79.59400138078288,73.66152922817795
59,2020-04-30,56,96.89704515921395,79.59400138078288
60,2020-05-01,35,60.56065322450872,76.38057896478854
61,2020-05-02,31,53.639435713136294,72.67278386941047
62,2020-05-03,43,74.40308824725356,75.63901994571293
63,2020-05-04,26,44.98791382392076,69.21217511372424
64,2020-05-05,35,60.56065322450872,67.23468439618927
65,2020-05-06,36,62.290957602351824,64.76282099927055
66,2020-05-07,48,83.05461013646911,62.78533028173557
67,2020-05-08,32,55.3697400909794,62.04377126265995
68,2020-05-09,10,17.303043778431064,56.85285812913064
69,2020-05-10,22,38.06669631254834,51.66194499560132
70,2020-05-11,23,39.79700069039144,50.9203859765257
71,2020-05-12,39,67.48187073588115,51.90913133529319
72,2020-05-13,28,48.44852257960697,49.93164061775821
73,2020-05-14,20,34.60608755686213,43.01042310638579
74,2020-05-15,18,31.145478801175912,39.54981435069957
75,2020-05-16,13,22.49395691196038,40.29137336977519
76,2020-05-17,17,29.415174423332807,39.055441671315826
77,2020-05-18,25,43.25760944607766,39.54981435069957
78,2020-05-19,37,64.02126198019494,39.055441671315826
79,2020-05-20,20,34.60608755686213,37.07795095378085
80,2020-05-21,23,39.79700069039144,37.819509972856466
81,2020-05-22,18,31.145478801175912,37.819509972856466
82,2020-05-23,13,22.49395691196038,37.819509972856466
83,2020-05-24,7,12.112130644901743,35.347646575937745
84,2020-05-25,18,31.145478801175912,33.61734219809463
85,2020-05-26,14,24.224261289803486,27.93205638518157
86,2020-05-27,13,22.49395691196038,26.201752007338467
87,2020-05-28,23,39.79700069039144,26.201752007338467
88,2020-05-29,5,8.651521889215532,22.988329591344126
89,2020-05-30,10,17.303043778431064,22.24677057226851
90,2020-05-31,9,15.572739400587956,22.741143251652254
91,2020-06-01,11,19.03334815627417,21.01083887380915
92,2020-06-02,20,34.60608755686213,22.49395691196038
93,2020-06-03,11,19.03334815627417,21.999584232576638
94,2020-06-04,13,22.49395691196038,19.527720835657913
95,2020-06-05,9,15.572739400587956,20.516466194425405
96,2020-06-06,7,12.112130644901743,19.774907175349785
97,2020-06-07,8,13.84243502274485,19.527720835657913
98,2020-06-08,22,38.06669631254834,22.24677057226851
99,2020-06-09,11,19.03334815627417,20.022093515041657
100,2020-06-10,17,29.415174423332807,21.505211553192893
101,2020-06-11,15,25.954565667646595,21.999584232576638
102,2020-06-12,7,12.112130644901743,21.505211553192893
103,2020-06-13,9,15.572739400587956,21.999584232576638
104,2020-06-14,11,19.03334815627417,22.741143251652254
105,2020-06-15,13,22.49395691196038,20.5164661944254
106,2020-06-16,7,12.112130644901743,19.527720835657913
107,2020-06-17,14,24.224261289803486,18.786161816582297
108,2020-06-18,10,17.303043778431064,17.550230118122936
109,2020-06-19,11,19.03334815627417,18.538975476890425
110,2020-06-20,2,3.4606087556862124,16.808671099047316
111,2020-06-21,3,5.190913133529319,14.83118038151234
112,2020-06-22,7,12.112130644901743,13.348062343361105
113,2020-06-23,1,1.7303043778431062,11.864944305209871
114,2020-06-24,3,5.190913133529319,9.145894568599276
115,2020-06-25,7,12.112130644901743,8.404335549523658
116,2020-06-26,5,8.651521889215532,6.921217511372425
117,2020-06-27,9,15.572739400587956,8.651521889215532
118,2020-06-28,4,6.921217511372425,8.898708228907404
119,2020-06-29,3,5.190913133529319,7.909962870139914
120,2020-06-30,4,6.921217511372425,8.651521889215532
121,2020-07-01,5,8.651521889215532,9.145894568599276
122,2020-07-02,5,8.651521889215532,8.651521889215532
123,2020-07-03,4,6.921217511372425,8.404335549523658
124,2020-07-04,2,3.4606087556862124,6.674031171680553
125,2020-07-05,4,6.921217511372425,6.674031171680553
126,2020-07-06,4,6.921217511372425,6.921217511372425
127,2020-07-07,3,5.190913133529319,6.674031171680553
128,2020-07-08,12,20.763652534117277,8.40433554952366
129,2020-07-09,9,15.572739400587956,9.393080908291148
130,2020-07-10,5,8.651521889215532,9.64026724798302
131,2020-07-11,2,3.4606087556862124,9.64026724798302
132,2020-07-12,2,3.4606087556862124,9.145894568599276
133,2020-07-13,3,5.190913133529319,8.898708228907404
134,2020-07-14,6,10.381826267058639,9.64026724798302
135,2020-07-15,2,3.4606087556862124,7.168403851064298
136,2020-07-16,5,8.651521889215532,6.1796584922968085
137,2020-07-17,3,5.190913133529319,5.6852858129130635
138,2020-07-18,6,10.381826267058639,6.674031171680554
139,2020-07-19,2,3.4606087556862124,6.674031171680554
140,2020-07-20,4,6.921217511372425,6.921217511372426
141,2020-07-21,3,5.190913133529319,6.1796584922968085
142,2020-07-22,5,8.651521889215532,6.921217511372426
143,2020-07-23,1,1.7303043778431062,5.932472152604936
144,2020-07-24,5,8.651521889215532,6.426844831988681
145,2020-07-25,8,13.84243502274485,6.921217511372425
146,2020-07-26,5,8.651521889215532,7.662776530448042
147,2020-07-27,7,12.112130644901743,8.40433554952366
148,2020-07-28,3,5.190913133529319,8.40433554952366
149,2020-07-29,9,15.572739400587956,9.393080908291148
150,2020-07-30,4,6.921217511372425,10.134639927366765
151,2020-07-31,11,19.03334815627417,11.617757965517999
152,2020-08-01,6,10.381826267058639,11.123385286134255
153,2020-08-02,4,6.921217511372425,10.876198946442383
154,2020-08-03,6,10.381826267058639,10.62901260675051
155,2020-08-04,8,13.84243502274485,11.864944305209871
156,2020-08-05,2,3.4606087556862124,10.134639927366765
157,2020-08-06,5,8.651521889215532,10.381826267058639
158,2020-08-07,7,12.112130644901743,9.393080908291148
159,2020-08-08,1,1.7303043778431062,8.157149209831786
160,2020-08-09,5,8.651521889215532,8.40433554952366
161,2020-08-10,5,8.651521889215532,8.157149209831786
162,2020-08-11,11,19.03334815627417,8.898708228907404
163,2020-08-12,2,3.4606087556862124,8.898708228907404
