,date,newCasesEngland,newDeathsEngland,newCasesScotland,newDeathsScotland,newCasesWales,newDeathsWales,newCasesNorthernIreland,newDeathsNorthernIreland
0,2020-01-03,0,0,0,0,0,0,0,0
1,2020-01-04,0,0,0,0,0,0,0,0
2,2020-01-05,0,0,0,0,0,0,0,0
3,2020-01-06,0,0,0,0,0,0,0,0
4,2020-01-07,0,0,0,0,0,0,0,0
5,2020-01-08,0,0,0,0,0,0,0,0
6,2020-01-09,0,0,0,0,0,0,0,0
7,2020-01-10,0,0,0,0,0,0,0,0
8,2020-01-11,0,0,0,0,0,0,0,0
9,2020-01-12,0,0,0,0,0,0,0,0
10,2020-01-13,0,0,0,0,0,0,0,0
11,2020-01-14,0,0,0,0,0,0,0,0
12,2020-01-15,0,0,0,0,0,0,0,0
13,2020-01-16,0,0,0,0,0,0,0,0
14,2020-01-17,0,0,0,0,0,0,0,0
15,2020-01-18,0,0,0,0,0,0,0,0
16,2020-01-19,0,0,0,0,0,0,0,0
17,2020-01-20,0,0,0,0,0,0,0,0
18,2020-01-21,0,0,0,0,0,0,0,0
19,2020-01-22,0,0,0,0,0,0,0,0
20,2020-01-23,0,0,0,0,0,0,0,0
21,2020-01-24,0,0,0,0,0,0,0,0
22,2020-01-25,0,0,0,0,0,0,0,0
23,2020-01-26,0,0,0,0,0,0,0,0
24,2020-01-27,0,0,0,0,0,0,0,0
25,2020-01-28,0,0,0,0,0,0,0,0
26,2020-01-29,0,0,0,0,0,0,0,0
27,2020-01-30,0,0,0,0,0,0,0,0
28,2020-01-31,2,0,0,0,0,0,0,0
29,2020-02-01,0,0,0,0,0,0,0,0
30,2020-02-02,0,0,0,0,0,0,0,0
31,2020-02-03,0,0,0,0,0,0,0,0
32,2020-02-04,0,0,0,0,0,0,0,0
33,2020-02-05,0,0,0,0,0,0,0,0
34,2020-02-06,1,0,0,0,0,0,0,0
35,2020-02-07,0,0,0,0,0,0,0,0
36,2020-02-08,0,0,0,0,0,0,0,0
37,2020-02-09,1,0,0,0,0,0,0,0
38,2020-02-10,4,0,0,0,0,0,0,0
39,2020-02-11,0,0,0,0,0,0,0,0
40,2020-02-12,0,0,0,0,0,0,0,0
41,2020-02-13,1,0,0,0,0,0,0,0
42,2020-02-14,0,0,0,0,0,0,0,0
43,2020-02-15,0,0,0,0,0,0,0,0
44,2020-02-16,0,0,0,0,0,0,0,0
45,2020-02-17,0,0,0,0,0,0,0,0
46,2020-02-18,0,0,0,0,0,0,0,0
47,2020-02-19,0,0,0,0,0,0,0,0
48,2020-02-20,0,0,0,0,0,0,0,0
49,2020-02-21,0,0,0,0,0,0,0,0
50,2020-02-22,0,0,0,0,0,0,0,0
51,2020-02-23,0,0,0,0,0,0,0,0
52,2020-02-24,4,0,0,0,0,0,0,0
53,2020-02-25,0,0,0,0,0,0,0,0
54,2020-02-26,0,0,0,0,0,0,0,0
55,2020-02-27,0,0,0,0,0,0,0,0
56,2020-02-28,5,0,0,0,1,0,0,0
57,2020-02-29,3,0,0,0,0,0,0,0
58,2020-03-01,12,0,0,0,0,0,0,0
59,2020-03-02,4,0,1,0,0,0,0,0
60,2020-03-03,11,0,0,0,0,0,0,0
61,2020-03-04,32,0,2,0,0,0,0,0
62,2020-03-05,25,0,3,0,1,0,0,0
63,2020-03-06,39,1,5,0,0,0,2,0
64,2020-03-07,39,1,5,0,0,0,2,0
65,2020-03-08,58,0,2,0,0,0,5,0
66,2020-03-09,40,1,5,0,2,0,3,0
67,2020-03-10,46,4,4,0,2,0,0,0
68,2020-03-11,63,0,9,0,9,0,2,0
69,2020-03-12,99,2,24,0,10,0,1,0
70,2020-03-13,159,1,25,0,13,0,10,0
71,2020-03-14,201,18,36,0,22,0,5,0
72,2020-03-15,253,14,32,0,34,0,11,0
73,2020-03-16,97,22,18,0,30,0,7,0
74,2020-03-17,361,15,24,1,12,0,10,0
75,2020-03-18,625,33,32,1,13,0,6,0
76,2020-03-19,574,42,39,3,21,0,9,0
77,2020-03-20,628,32,56,0,21,0,9,0
78,2020-03-21,873,54,51,1,89,2,22,1
79,2020-03-22,535,24,43,3,67,9,20,0
80,2020-03-23,793,67,83,4,71,4,20,1
81,2020-03-24,1258,143,85,2,60,1,24,2
82,2020-03-25,1130,178,135,6,150,5,37,2
83,2020-03-26,1809,169,175,3,113,6,32,3
84,2020-03-27,2506,271,165,8,180,6,34,3
85,2020-03-28,2139,279,186,7,172,4,49,2
86,2020-03-29,2060,195,139,1,148,10,86,6
87,2020-03-30,2107,353,179,6,210,14,123,1
88,2020-03-31,2414,368,430,22,112,7,53,6
89,2020-04-01,3630,613,317,28,274,29,103,2
90,2020-04-02,3583,603,292,29,284,19,85,6
91,2020-04-03,3576,654,399,46,345,24,130,12
92,2020-04-04,2910,689,344,46,387,13,94,8
93,2020-04-05,5107,578,361,2,344,12,91,7
94,2020-04-06,3176,531,255,2,302,27,69,7
95,2020-04-07,2978,1009,268,74,291,19,97,3
96,2020-04-08,4788,922,336,70,283,33,84,5
97,2020-04-09,3798,990,392,81,16,41,138,4
98,2020-04-10,4263,1035,318,48,502,29,112,10
99,2020-04-11,3841,745,315,47,340,36,128,15
100,2020-04-12,3672,604,322,24,367,18,89,11
101,2020-04-13,2999,694,155,9,313,15,76,6
102,2020-04-14,3854,1007,291,40,238,19,85,10
103,2020-04-15,3188,730,390,84,272,60,121,6
104,2020-04-16,3118,906,354,80,284,32,113,18
105,2020-04-17,3985,826,307,58,244,11,137,18
106,2020-04-18,3548,1004,411,56,292,28,148,17
107,2020-04-19,3607,380,367,10,334,41,159,1
108,2020-04-20,2401,536,263,12,276,9,83,13
109,2020-04-21,3087,1116,222,70,304,25,30,13
110,2020-04-22,3020,725,366,77,274,15,116,30
111,2020-04-23,3084,594,371,58,234,17,142,13
112,2020-04-24,3004,821,288,64,243,110,106,15
113,2020-04-25,2826,729,354,47,299,23,104,16
114,2020-04-26,2152,327,273,18,178,14,82,5
115,2020-04-27,2264,289,197,13,203,8,66,10
116,2020-04-28,1989,862,200,70,232,17,34,20
117,2020-04-29,1403,604,313,83,117,73,55,9
118,2020-04-30,2484,543,319,60,183,22,73,9
119,2020-05-01,2501,623,301,40,160,17,87,18
120,2020-05-02,2228,485,273,44,183,44,66,11
121,2020-05-03,2019,222,170,12,174,14,78,5
122,2020-05-04,1485,247,169,5,195,14,69,6
123,2020-05-05,1842,639,171,44,145,26,45,17
124,2020-05-06,1611,529,272,83,95,21,53,14
125,2020-05-07,2133,377,215,59,87,18,50,4
126,2020-05-08,1694,498,225,49,152,28,38,4
127,2020-05-09,1349,226,156,36,118,9,56,4
128,2020-05-10,1007,190,181,10,223,12,41,5
129,2020-05-11,891,174,141,5,124,5,30,3
130,2020-05-12,1067,539,136,50,105,16,44,9
131,2020-05-13,1146,362,166,61,133,22,60,2
132,2020-05-14,1189,303,188,34,128,10,38,5
133,2020-05-15,1112,280,143,46,126,9,26,15
134,2020-05-16,1136,348,187,41,183,18,40,4
135,2020-05-17,788,43,90,9,162,12,28,3
136,2020-05-18,816,134,57,2,101,4,16,6
137,2020-05-19,857,447,61,29,166,17,20,7
138,2020-05-20,824,259,96,50,110,14,18,5
139,2020-05-21,854,220,105,37,166,9,42,7
140,2020-05-22,1083,257,113,24,138,7,23,3
141,2020-05-23,979,197,72,16,185,6,41,1
142,2020-05-24,584,362,60,9,140,7,25,1
143,2020-05-25,494,86,55,3,106,7,39,8
144,2020-05-26,492,105,29,18,141,8,28,0
145,2020-05-27,609,396,55,13,97,11,26,2
146,2020-05-28,519,315,48,12,72,14,16,2
147,2020-05-29,560,246,39,15,102,10,17,3
148,2020-05-30,715,117,55,22,86,14,13,1
149,2020-05-31,320,39,18,9,82,11,7,1
150,2020-06-01,294,79,18,1,59,5,12,1
151,2020-06-02,444,228,53,12,67,7,4,2
152,2020-06-03,462,218,33,11,82,17,8,8
153,2020-06-04,431,112,49,9,35,8,33,1
154,2020-06-05,451,239,29,14,76,4,3,1
155,2020-06-06,422,126,21,6,42,10,14,1
156,2020-06-07,228,49,18,0,40,5,6,0
157,2020-06-08,92,44,18,0,42,3,6,0
158,2020-06-09,651,179,14,7,42,9,3,0
159,2020-06-10,63,143,12,12,38,9,13,0
160,2020-06-11,304,64,17,5,63,6,4,1
161,2020-06-12,392,117,27,3,77,10,16,1
162,2020-06-13,372,94,21,5,45,6,3,2
163,2020-06-14,292,23,25,1,39,3,7,0
164,2020-06-15,219,25,29,0,62,4,4,0
165,2020-06-16,252,106,15,5,65,8,2,1
166,2020-06-17,252,90,21,9,53,10,8,1
167,2020-06-18,281,60,11,2,48,5,1,0
168,2020-06-19,323,73,27,6,31,4,3,1
169,2020-06-20,324,67,26,2,25,1,0,1
170,2020-06-21,215,30,26,0,100,1,4,0
171,2020-06-22,178,13,14,0,71,1,1,0
172,2020-06-23,210,84,12,4,51,5,0,1
173,2020-06-24,107,74,9,4,47,8,2,1
174,2020-06-25,261,91,5,2,125,6,1,0
175,2020-06-26,175,76,17,0,65,2,4,1
176,2020-06-27,192,34,15,0,46,5,2,1
177,2020-06-28,142,28,8,0,25,2,1,1
178,2020-06-29,99,17,5,0,116,3,6,1
179,2020-06-30,196,47,10,3,26,3,3,0
180,2020-07-01,177,90,8,1,32,6,1,0
181,2020-07-02,523,31,5,1,41,8,7,1
182,2020-07-03,502,45,12,1,26,2,4,2
183,2020-07-04,579,27,11,0,34,5,0,0
184,2020-07-05,492,18,9,0,15,1,0,0
185,2020-07-06,331,11,4,0,8,0,0,0
186,2020-07-07,572,50,2,1,2,3,5,0
187,2020-07-08,606,52,7,1,13,4,4,0
188,2020-07-09,617,29,6,0,16,2,3,0
189,2020-07-10,480,34,18,0,10,0,4,0
190,2020-07-11,806,16,7,0,7,1,0,0
191,2020-07-12,615,9,19,0,16,0,0,0
